,exe_time_sec
PLS,4.957616090774536
SVR,16.83561873435974
DT,11.526027917861938
DT_not_autoscaled,0.004029989242553711
RF,13.628403902053833
GPR,34.1326425075531
LWPLS,35.97807550430298
Lasso,21.71581244468689
Ridge,23.817509174346924
ElasticNet,33.31047987937927
LightGBM_optuna,26.54154086112976
LightGBM_default,9.511444807052612
XGBoost_optuna,40.97904348373413
XGBoost_default,10.49975848197937
GBDT_optuna,72.81844735145569
GBDT_default,18.72179079055786
CatBoost_optuna,311.1479516029358
CatBoost_default,12.583125829696655
DNN,13.572248220443726
