,mean_of_knn_distance
sample_124,8.088776008746573
sample_141,7.653677356711772
sample_118,4.784447432112058
sample_13,11.159596174446234
sample_116,5.107804770736976
sample_135,7.072576584159461
sample_130,8.33041632877817
sample_120,3.8397278586198134
sample_119,3.7946076895894594
sample_110,6.566706350347813
sample_134,7.605675494294731
sample_114,6.249376885482077
sample_140,4.6353553158191225
sample_102,4.755160206020781
sample_125,7.569812525112923
sample_111,6.216194489557603
sample_108,12.1108419438141
sample_137,5.117452369265196
sample_128,7.091674920804387
sample_115,9.401025368075606
sample_136,6.7731988148081825
sample_126,8.091559878474676
sample_117,5.380141542861759
sample_121,8.477740610223378
sample_104,5.784645189851538
sample_105,4.610764653527813
sample_14,11.240007488996193
sample_10,9.975241151991408
sample_113,7.3050942473132805
sample_1,11.854833315481958
sample_112,7.715243784441862
sample_103,4.755160206020781
sample_109,6.497469181676723
sample_107,17.850427675388985
sample_106,4.676891736081768
sample_11,9.975241151991408
sample_138,5.656458701668834
sample_132,9.624685203181297
