,BoilingPoint,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BertzCT,Chi0,Chi0v,Chi1,Chi1v,Chi2v,Chi3n,Chi3v,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,SMR_VSA1,SMR_VSA9,SlogP_VSA2,TPSA,EState_VSA5,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState3,VSA_EState6,VSA_EState7,VSA_EState8,HeavyAtomCount,NHOHCount,NumHDonors,MolLogP,MolMR,fr_Al_OH,fr_Al_OH_noTert,fr_ether,fr_unbrch_alkane
sample_1,350.5,7.506944444,1.180555556,7.506944444,0.372551159,53.064,50.04,53.0265491,20,0.090531375,-0.193121261,0.193121261,0.090531375,2.0,2.25,2.25,14.20524381,10.75121127,1.335489198,-1.308648379,1.41036637,-1.234585666,4.931486984,1.537023475,48.79398752,3.414213562,2.231670646,1.914213562,0.920530223,0.33322359,0.091287093,0.091287093,0.0,-0.77,6.854752972,3.23,2.23,1.23,25.17211191,0.0,6.578935684,0.0,6.076020107,0.0,6.069221313,0.0,23.79,6.076020107,6.578935684,5.261891555,0.0,7.506944444,1.694444444,1.180555556,3.118055556,4,0,0,0.69598,15.81,0,0,0,0
sample_10,327.5,9.256944444,-0.99537037,9.256944444,0.405179006,73.071,68.031,73.02950298,30,0.041108964,-0.550182865,0.550182865,0.041108964,2.0,2.2,2.2,16.36502672,10.52003318,1.65056599,-1.86666436,1.614693451,-2.194944238,5.630180646,-0.304740239,40.15772188,4.28445705,3.023603362,2.27005561,1.468908462,0.725561859,0.288675135,0.288675135,0.0,-0.53,9.651484454,4.47,1.758184438,3.47,30.42489111,9.901064579,6.9237372,6.420821623,5.969305288,9.901064579,0.0,5.969305288,40.13,6.9237372,0.0,0.0,0.0,9.256944444,0.0,0.111111111,1.537037037,5,0,0,-0.8537,15.298,0,0,0,0
sample_100,337.8,3.791666667,1.135416667,3.791666667,0.450422813,84.162,72.066,84.09390038,36,-0.035168768,-0.099882385,0.099882385,0.035168768,1.333333333,1.666666667,1.666666667,13.8438878,10.18140284,1.775164947,-1.887749611,1.981639907,-1.680872268,4.893052118,0.986288549,38.0,4.991563832,4.621320344,2.808060412,2.474873734,1.457106781,1.0,1.0,0.25,-0.26,19.80026906,5.74,2.950970464,2.007379679,39.87435857,0.0,25.99951461,12.84164325,0.0,0.0,0.0,0.0,0.0,5.57310453,20.42641008,0.0,0.0,0.0,0.0,2.270833333,8.053240741,6,0,0,2.3626,29.722,0,0,0,0
sample_101,336.6,3.598194444,1.177083333,3.598194444,0.363505574,84.162,72.066,84.09390038,36,-0.035351361,-0.10308298,0.10308298,0.035351361,1.666666667,2.333333333,2.5,13.7743341,10.25090099,1.708892468,-1.814902408,1.908997948,-1.614472586,4.636931837,0.815753308,29.01955001,4.828427125,4.405777394,2.914213562,2.523603362,1.43090366,0.761801681,0.761801681,0.348461713,-0.26,20.98630086,5.74,4.74,3.74,39.87435857,0.0,25.84140055,6.420821623,0.0,0.0,0.0,0.0,0.0,19.26246487,13.50267288,0.0,0.0,0.0,0.0,5.717777778,5.782222222,6,0,0,2.3626,29.722,0,0,0,1
sample_102,342.0,2.180555556,1.232638889,2.180555556,0.450422813,84.162,72.066,84.09390038,36,-0.035346458,-0.091664372,0.091664372,0.035346458,1.5,2.166666667,2.333333333,13.71329508,10.31200464,1.643790832,-1.758168865,1.849643851,-1.551710648,4.74593548,0.956967458,35.30296891,4.828427125,4.568914101,2.914213562,2.526038674,1.357710728,0.691044062,0.691044062,0.333333333,-0.26,20.98630086,5.74,4.74,3.74,39.87435857,0.0,25.49659904,13.34455882,0.0,0.0,0.0,0.0,0.0,12.84164325,25.99951461,0.0,0.0,0.0,0.0,6.768194444,4.231805556,6,0,0,2.3626,29.722,0,0,0,0
sample_103,341.0,2.180555556,1.232638889,2.180555556,0.450422813,84.162,72.066,84.09390038,36,-0.035346458,-0.091664372,0.091664372,0.035346458,1.5,2.166666667,2.333333333,13.71329508,10.31200464,1.643790832,-1.758168865,1.849643851,-1.551710648,4.74593548,0.956967458,35.30296891,4.828427125,4.568914101,2.914213562,2.526038674,1.357710728,0.691044062,0.691044062,0.333333333,-0.26,20.98630086,5.74,4.74,3.74,39.87435857,0.0,25.49659904,13.34455882,0.0,0.0,0.0,0.0,0.0,12.84164325,25.99951461,0.0,0.0,0.0,0.0,6.768194444,4.231805556,6,0,0,2.3626,29.722,0,0,0,0
sample_104,345.0,2.340277778,1.046296296,2.340277778,0.421791474,84.162,72.066,84.09390038,36,-0.044280073,-0.062509723,0.062509723,0.044280073,1.166666667,1.666666667,1.833333333,14.12854948,10.15112465,2.06718858,-1.909376426,2.224200994,-1.780867708,4.601880871,0.611914915,33.30296891,4.405777394,4.405777394,2.89384685,2.89384685,2.389628766,1.64384685,1.64384685,1.129936127,0.0,33.54887502,4.166666667,1.632653061,0.734693878,39.55813045,0.0,32.60702369,5.917906046,0.0,0.0,0.0,0.0,0.0,25.68328649,6.9237372,0.0,0.0,0.0,0.0,5.946759259,2.340277778,6,0,0,2.1965,27.632,0,0,0,0
sample_105,335.3,3.744861111,1.180555556,3.744861111,0.450422813,84.162,72.066,84.09390038,36,-0.032839549,-0.100141105,0.100141105,0.032839549,1.666666667,2.166666667,2.166666667,13.82472839,10.20069376,1.756490717,-1.868059113,1.961786105,-1.66229101,4.857429867,0.909546408,44.0,4.991563832,4.621320344,2.77005561,2.414213562,1.707106781,0.676776695,0.676776695,0.426776695,-0.26,14.83446686,5.74,2.950970464,3.74,39.87435857,0.0,18.91766335,13.34455882,0.0,0.0,0.0,0.0,0.0,18.41474778,20.42641008,0.0,0.0,0.0,0.0,2.412037037,7.965277778,6,0,0,2.3626,29.722,0,0,0,0
sample_106,327.0,3.600833333,0.780092593,3.600833333,0.449886252,84.162,72.066,84.09390038,36,-0.033016381,-0.103073005,0.103073005,0.033016381,1.666666667,2.166666667,2.166666667,13.8840073,10.14118939,1.822284491,-1.920858176,1.963167926,-1.784427669,4.66632794,0.664454681,35.30296891,4.991563832,4.568914101,2.77005561,2.37944541,1.918224245,0.638071187,0.638071187,0.333333333,-0.26,14.83446686,5.74,2.950970464,3.74,39.87435857,0.0,19.92349451,12.33872767,0.0,0.0,0.0,0.0,0.0,0.0,20.42641008,0.0,0.0,0.0,0.0,3.087962963,7.965277778,6,0,0,2.2185,29.652,0,0,0,0
sample_107,367.0,5.165668934,1.124305556,5.165668934,0.398843737,182.307,160.131,182.1670653,76,0.086085447,-0.47330899,0.47330899,0.086085447,0.846153846,1.307692308,1.692307692,16.46112226,10.24218609,1.779855653,-1.909193698,1.968587139,-1.704399337,4.790264518,0.397819762,120.0599029,9.778174593,8.960290054,6.414213562,5.368781331,3.164109862,1.798273335,1.798273335,0.936505347,-0.72,812.7027727,12.28,11.28,11.28,82.48795345,4.736862954,26.68911765,37.83532671,0.0,4.736862954,0.0,0.0,9.23,25.68328649,25.99951461,4.736862954,5.165668934,0.0,0.0,14.94673554,4.387595529,13,0,0,4.4108,58.415,0,0,1,2
sample_108,434.0,8.909166667,0.03587963,8.909166667,0.486324884,100.161,88.065,100.088815,42,0.053984775,-0.393131382,0.393131382,0.053984775,1.0,1.571428571,1.857142857,16.26580617,9.981987147,2.07132817,-2.140364427,2.157992144,-2.094135332,4.611711079,0.130074353,46.14170945,5.112884175,4.560097771,3.39384685,3.074695471,2.291833947,1.574695471,1.574695471,1.081038718,-0.04,47.19725257,5.103678161,2.31410722,1.475062751,44.3523642,5.106527395,19.26246487,12.84164325,0.0,5.106527395,0.0,11.21049378,20.23,19.26246487,0.0,5.106527395,0.0,8.909166667,0.0,5.924166667,0.0,7,1,1,1.3114,29.0918,1,1,0,0
sample_109,400.9,10.20263889,0.307268519,10.20263889,0.527852924,100.161,88.065,100.088815,42,0.129339773,-0.300031025,0.300031025,0.129339773,1.571428571,2.142857143,2.285714286,16.13716731,10.19393893,1.869658924,-1.861139901,1.921162011,-1.861067763,5.747844212,-0.116612303,57.20035948,5.698670613,5.029568634,3.27005561,2.764784317,1.805568494,0.882392159,0.882392159,0.425722174,-0.33,29.01955001,6.67,3.846366843,5.67,44.7254837,4.794537184,13.34455882,13.34455882,6.420821623,4.794537184,0.0,5.783244946,17.07,0.0,6.9237372,0.0,0.0,0.0,0.0,2.935925926,3.720833333,7,0,0,1.7656,30.206,0,0,0,0
sample_11,330.1,9.256944444,-0.99537037,9.256944444,0.405179006,73.071,68.031,73.02950298,30,0.041108964,-0.550182865,0.550182865,0.041108964,2.0,2.2,2.2,16.36502672,10.52003318,1.65056599,-1.86666436,1.614693451,-2.194944238,5.630180646,-0.304740239,40.15772188,4.28445705,3.023603362,2.27005561,1.468908462,0.725561859,0.288675135,0.288675135,0.0,-0.53,9.651484454,4.47,1.758184438,3.47,30.42489111,9.901064579,6.9237372,6.420821623,5.969305288,9.901064579,0.0,5.969305288,40.13,6.9237372,0.0,0.0,0.0,9.256944444,0.0,0.111111111,1.537037037,5,0,0,-0.8537,15.298,0,0,0,0
