,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_CHGLO,Ipc,Kappa3,PEOE_VSA8,SMR_VSA9,fr_Al_OH_noTert
sample_1,2.25,14.20524381,-1.308648379,6.854752972,1.23,6.076020107,6.069221313,0
sample_10,2.2,16.36502672,-1.86666436,9.651484454,3.47,5.969305288,0.0,0
sample_100,1.666666667,13.8438878,-1.887749611,19.80026906,2.007379679,0.0,0.0,0
sample_101,2.5,13.7743341,-1.814902408,20.98630086,3.74,0.0,0.0,0
sample_102,2.333333333,13.71329508,-1.758168865,20.98630086,3.74,0.0,0.0,0
sample_103,2.333333333,13.71329508,-1.758168865,20.98630086,3.74,0.0,0.0,0
sample_104,1.833333333,14.12854948,-1.909376426,33.54887502,0.734693878,0.0,0.0,0
sample_105,2.166666667,13.82472839,-1.868059113,14.83446686,3.74,0.0,0.0,0
sample_106,2.166666667,13.8840073,-1.920858176,14.83446686,3.74,0.0,0.0,0
sample_107,1.692307692,16.46112226,-1.909193698,812.7027727,11.28,0.0,0.0,0
sample_108,1.857142857,16.26580617,-2.140364427,47.19725257,1.475062751,0.0,0.0,1
sample_109,2.285714286,16.13716731,-1.861139901,29.01955001,5.67,6.420821623,0.0,0
sample_11,2.2,16.36502672,-1.86666436,9.651484454,3.47,5.969305288,0.0,0
sample_110,2.0,16.13721582,-1.951296226,19.09358393,5.67,6.420821623,0.0,0
sample_111,2.5,16.53178075,-1.958031775,50.25226451,3.652815356,6.420821623,0.0,0
sample_112,1.875,16.36643606,-2.020873588,47.19725257,1.958669538,0.0,0.0,0
sample_113,2.5,16.36511716,-1.892948636,48.27551104,5.47,6.420821623,0.0,0
sample_114,2.25,16.53198487,-2.018597533,40.33920395,5.47,6.9237372,0.0,0
sample_115,1.857142857,14.61972571,-2.15138452,47.19725257,1.475062751,6.041840829,0.0,0
sample_116,1.333333333,14.08746395,-2.121839814,12.16479704,4.0,0.0,0.0,0
sample_117,0.833333333,14.01333452,-2.049741469,13.60964047,2.25,0.0,0.0,0
sample_118,1.333333333,13.81562221,-1.85689882,20.98630086,4.0,0.0,0.0,0
sample_119,1.833333333,13.91556205,-1.954342432,14.83446686,4.0,0.0,0.0,0
sample_12,2.2,16.36502672,-1.714254962,9.651484454,3.47,6.420821623,0.0,0
sample_120,1.5,13.94521522,-1.983213103,19.80026906,2.25,0.0,0.0,0
sample_121,1.142857143,16.49500987,-2.088667911,19.09358393,5.96,0.0,0.0,0
sample_122,1.714285714,16.47275948,-1.948960976,35.50960993,5.96,13.21376393,0.0,0
sample_123,2.461538462,16.53611122,-2.031132092,729.6807529,2.297415033,6.9237372,5.749511833,0
sample_124,1.142857143,14.91322627,-2.095466907,19.09358393,5.96,12.08368166,0.0,0
sample_125,1.714285714,14.83541158,-1.951779232,35.50960993,5.96,0.0,0.0,0
sample_126,2.125,16.12891862,-1.814861063,91.36757728,0.936277399,5.563451492,0.0,0
sample_127,2.111111111,16.36552806,-1.876559698,129.2253387,1.287705032,0.0,0.0,0
sample_128,1.857142857,13.78210528,-1.822323872,47.19725257,1.038264132,0.0,0.0,0
sample_129,2.125,16.2502435,-1.887328947,91.36757728,1.073981897,0.0,0.0,1
sample_13,2.0,79.91872953,-1.655371313,6.854752972,2.48,5.330089647,0.0,0
sample_130,2.5,16.25465666,-1.894289843,64.0524865,0.997109257,0.0,5.749511833,0
sample_131,2.25,16.25527441,-1.917934987,72.49526583,0.808016781,0.0,5.749511833,0
sample_132,2.5,14.53446499,-1.906127995,64.0524865,0.997109257,5.687386275,0.0,0
sample_133,2.25,14.54580357,-1.93304226,72.49526583,0.808016781,5.687386275,0.0,0
sample_134,2.888888889,16.53186128,-1.966611422,94.26737929,5.074900257,6.076020107,0.0,0
sample_135,2.666666667,16.53239943,-2.023040036,78.51304536,5.074900257,6.076020107,0.0,0
sample_136,2.142857143,14.16581175,-1.99226671,66.31310983,1.185185185,0.0,0.0,0
sample_137,1.571428571,14.06688122,-2.101310606,27.9770933,2.666666667,0.0,0.0,0
sample_138,1.428571429,13.86223338,-1.901933057,35.50960993,6.0,0.0,0.0,0
sample_139,2.0,13.94608135,-1.983765768,29.01955001,6.0,0.0,0.0,0
sample_14,1.5,35.49574318,-1.75513732,3.245112498,45.31259215,5.377087868,0.0,0
sample_140,2.0,13.98369322,-2.020283745,31.91663524,3.84,0.0,0.0,0
sample_141,2.125,13.81386693,-1.847610823,91.36757728,0.968848852,0.0,0.0,0
sample_142,2.111111111,16.13739126,-1.889898504,129.2253387,1.38925248,5.563451492,0.0,0
sample_143,2.125,13.85659694,-1.891751252,91.36757728,1.093537203,0.0,0.0,0
sample_144,1.75,13.8660978,-1.902575147,64.0524865,1.093537203,0.0,0.0,0
sample_145,1.25,13.85792627,-1.895019118,70.79892376,1.093537203,0.0,0.0,0
sample_146,1.888888889,16.25593166,-1.987108573,109.7375151,1.043572384,0.0,5.749511833,0
sample_147,1.888888889,15.05549977,-2.099361361,129.2253387,1.456737692,19.78273024,0.0,0
sample_148,1.5,14.20874424,-2.240315778,72.49526583,1.239669421,0.0,0.0,0
sample_149,1.5,14.20874424,-2.240315778,72.49526583,1.239669421,0.0,0.0,0
sample_15,2.0,35.49566236,-1.652180908,6.854752972,2.29,5.880003445,0.0,0
sample_150,1.75,14.19064365,-2.222905972,64.0524865,1.5,0.0,0.0,0
sample_151,1.75,14.19064365,-2.222905972,64.0524865,1.5,0.0,0.0,0
sample_152,1.25,14.18543661,-2.218020308,70.79892376,1.5,0.0,0.0,0
sample_153,1.25,14.18543661,-2.218020308,70.79892376,1.5,0.0,0.0,0
sample_154,2.125,14.15103371,-2.184200906,91.36757728,1.5,0.0,0.0,0
sample_155,2.375,14.17968283,-2.028770348,107.1071907,1.5,0.0,0.0,0
sample_156,1.75,14.13566164,-2.165335094,23.0053905,5.74,0.0,0.0,0
sample_157,1.5,14.08328396,-2.113692285,23.0053905,5.74,0.0,0.0,0
sample_158,2.1,16.53374061,-2.077395786,111.0417522,4.358753835,0.0,0.0,0
sample_159,1.75,14.08896196,-2.122390038,45.11498676,3.06122449,0.0,0.0,0
sample_16,2.25,14.49607704,-1.606233192,6.854752972,1.7,6.544756406,0.0,0
sample_160,1.375,14.11563569,-2.148097934,47.19725257,2.34375,0.0,0.0,0
sample_161,1.25,13.89465923,-1.933064926,61.49961227,6.0,0.0,0.0,0
sample_162,1.625,14.22041489,-2.250176954,35.64737585,2.34375,0.0,0.0,0
sample_163,1.5,14.16363839,-2.194935125,23.0053905,6.0,0.0,0.0,0
sample_164,1.625,14.23602865,-2.265263314,38.33669273,1.851851852,0.0,0.0,0
sample_165,1.666666667,16.47284916,-1.990580851,103.687916,7.96,13.21376393,0.0,0
sample_166,2.333333333,16.25097618,-2.082473119,99.31601295,4.462512563,6.606881965,0.0,1
sample_167,2.6,14.63666362,-1.910524464,348.5704618,0.75988141,11.58306779,0.0,0
sample_168,2.111111111,13.91348653,-1.94275242,129.2253387,1.425448346,0.0,0.0,0
sample_169,2.545454545,16.53210316,-1.987226026,380.1758005,2.075224642,0.0,0.0,0
sample_17,1.333333333,13.42571365,-1.476058244,2.754887502,0.0,0.0,0.0,0
sample_170,1.888888889,13.98379891,-2.011643296,129.2253387,1.562760731,0.0,0.0,0
sample_171,2.333333333,13.94860235,-1.979885628,130.6510251,1.317455005,0.0,0.0,0
sample_172,2.111111111,13.90544354,-1.939181251,129.2253387,1.562760731,0.0,0.0,0
sample_173,1.111111111,13.93108972,-1.96465117,85.75693819,1.562760731,0.0,0.0,0
sample_174,2.333333333,13.9003054,-1.932640245,145.1665367,1.883546785,0.0,0.0,0
sample_175,1.666666667,13.9724152,-2.00364452,109.7375151,1.12568089,0.0,0.0,0
sample_176,2.0,13.94626318,-1.979045687,104.2009193,1.317455005,0.0,0.0,0
sample_177,2.4,16.13770495,-2.266209533,106.4562509,1.693077005,6.420821623,0.0,0
sample_178,2.333333333,14.16479635,-2.197021753,145.1665367,2.380165289,0.0,0.0,0
