,Expected_value_update_width,Estimated_value,std_of_Estimated_value,SMILES
0,746.3705160522144,427.18659317637986,2114.152911479565,c1ccc(Cc2ccccc2)cc1
1,737.851232980896,454.56876878338085,2124.390394968294,CC(c1ccccc1)c1ccccc1
2,736.2096395349588,451.5701133335069,2116.7949457597397,c1ccc(CCc2ccccc2)cc1
3,720.3486564227155,500.21102261280635,2132.38720708679,c1ccc(Oc2ccccc2)cc1
4,691.1672654391938,493.7263546140344,2051.2717535594265,c1ccc(Nc2ccccc2)cc1
5,677.5029498619839,138.79782292324757,1587.346489882055,CC(C)(C)O
6,636.2895308610813,138.77664118582243,1483.8473371587331,CC(C)(C)N
7,631.4057177794239,574.5888601832008,1989.7813902851651,O=C(OCc1ccccc1)c1ccccc1
8,441.7237806386431,400.73384922159397,1315.3168420071283,Cc1ccc(C)c(C)c1
9,436.45129035333997,412.6968405009062,1315.4515384871083,Cc1cc(C)cc(C)c1
10,417.61256989647734,387.4267258658554,1239.2931354766326,c1ccc2c(c1)CCCC2
11,397.69831983258575,381.92234949982054,1182.7113792434925,c1ccccc1
12,379.02901705045144,364.706185337084,1115.995963231344,CC(C)Cc1ccccc1
13,371.3718802696194,367.3170748224807,1099.612644693329,CC(C)(C)c1ccccc1
14,370.8826485413987,376.3022722380049,1108.5377549887182,CCC(C)c1ccccc1
15,369.92167464972965,380.1986476902233,1110.4957443747169,CCc1cccc(CC)c1
16,369.441640541242,383.5228539698317,1113.0173163820168,CCc1ccc(CC)cc1
17,366.5147119465269,384.3577714457844,1106.5424016962165,CCc1ccccc1CC
18,365.53130226469335,556.4405582410407,1288.8678706131861,CCOC(=O)c1ccccc1C(=O)OCC
19,364.50195301400464,367.4311911957458,1082.3751576449793,CCCCc1ccccc1
20,361.45971450438515,373.07095051276025,1081.05301920848,CC(C)c1ccccc1
21,357.3996392389155,371.28502836184754,1068.7666976047208,CCCc1ccccc1
22,357.12016523221,394.9929633168915,1094.6090599258603,CN(C)c1ccccc1
23,352.48626770836944,362.8566997252147,1046.8167481892476,CCc1ccccc1
24,350.96388138632653,388.24532937527215,1071.4813692723142,Cc1cccc(C)c1C
25,349.82261621580784,496.5827876397122,1185.8803529222546,Oc1ccc(O)cc1
26,348.8725647933137,377.2335553559666,1053.8703494616475,CCc1ccccc1C
27,348.4058701110193,371.5350656945629,1046.2883665945983,C=C(C)c1ccccc1
28,348.0921919826828,382.9944943326447,1058.3413045779735,Cc1ccccc1C
29,345.8011445296113,375.45911892702156,1044.1013536003804,C=Cc1ccccc1
30,345.71012189124133,392.24552747651904,1062.6047944553102,Cc1ccc(C)cc1
31,345.4490309139789,385.04024108792106,1053.924212440778,CCc1ccc(C)cc1
32,342.85508511858126,391.5818779444982,1054.6223357336098,Cc1cccc(C)c1
33,334.44649122139987,389.9933538783925,1031.5163747577822,CC(C)c1cccc(C(C)C)c1
34,330.7431968066906,398.00284049980814,1030.9609529749998,CC(C)c1ccc(C(C)C)cc1
35,327.65111241035913,375.7607404549383,998.4483896393789,Cc1ccccc1
36,324.40138954902164,490.36126534511436,1113.8673185050811,c1ccc2ncccc2c1
37,320.1434670169087,590.8828910299196,1205.5655349559702,CCCCOC(=O)c1ccccc1C(=O)OCCCC
38,317.74190578653327,430.92612125235536,1033.6844408050006,Brc1ccccc1
39,311.94829751638247,468.1567895105733,1058.4726348573347,CC(=O)OCc1ccccc1
40,309.4002225088886,523.1642735583688,1109.0076670136586,COC(=O)c1ccc(C(=O)OC)cc1
